path_1_bw,path_1_delay,path_1_loss,path_2_bw,path_2_delay,path_2_loss
3.8,57ms,0.6,3.5,83ms,1.0
5.0,82ms,0.6,4.9,71ms,0.2
3.2,58ms,0.1,3.6,55ms,0.0
4.7,75ms,0.6,3.9,69ms,0.3
4.6,80ms,0.5,4.1,52ms,0.3
3.1,84ms,0.9,3.7,69ms,0.7
3.6,80ms,0.8,3.6,80ms,0.7
4.0,67ms,0.8,5.0,77ms,0.1
3.1,64ms,0.6,4.4,53ms,0.0
3.7,54ms,0.7,4.5,55ms,0.5
3.1,80ms,0.9,3.3,68ms,0.3
4.4,53ms,0.1,4.8,72ms,0.5
4.5,69ms,0.8,3.3,73ms,0.4
4.4,74ms,0.0,3.4,52ms,0.7
4.2,60ms,0.2,4.4,53ms,0.7
3.7,64ms,0.3,3.5,54ms,0.8
4.8,78ms,0.8,3.1,59ms,0.2
3.6,63ms,0.5,3.6,51ms,0.3
3.3,85ms,0.4,4.6,81ms,0.8
4.8,81ms,0.7,4.1,60ms,0.1
3.2,62ms,0.2,3.4,75ms,1.0
3.1,63ms,0.3,4.3,52ms,0.0
3.5,72ms,1.0,4.9,81ms,0.2
3.4,65ms,0.9,4.9,55ms,1.0
3.8,73ms,0.7,4.2,60ms,0.6
4.2,57ms,1.0,3.7,57ms,0.5
3.2,53ms,0.3,4.2,65ms,0.9
4.7,76ms,0.7,4.0,58ms,0.2
3.1,64ms,0.3,4.1,61ms,0.9
3.6,58ms,0.3,5.0,79ms,0.4
4.3,54ms,0.6,4.0,59ms,0.7
4.8,78ms,0.2,5.0,64ms,0.0
3.9,60ms,0.9,4.0,59ms,0.1
4.6,72ms,0.4,3.7,70ms,0.9
3.5,64ms,0.7,3.4,68ms,0.8
4.0,81ms,0.4,4.4,57ms,0.8
4.2,59ms,0.8,3.3,70ms,0.0
4.5,56ms,0.1,3.4,69ms,0.4
3.4,50ms,0.2,4.6,81ms,1.0
4.9,72ms,1.0,5.0,60ms,0.4
3.5,59ms,1.0,3.7,65ms,0.7
4.7,63ms,0.5,4.7,65ms,0.0
3.4,55ms,0.9,3.3,79ms,0.3
4.6,78ms,0.0,4.9,72ms,0.4
3.9,74ms,0.2,3.2,58ms,0.0
3.6,81ms,0.3,3.5,69ms,0.9
3.1,81ms,0.4,4.6,56ms,0.1
4.8,52ms,0.8,4.7,81ms,0.3
4.9,57ms,0.5,3.3,69ms,0.0
4.0,51ms,0.2,3.6,51ms,0.1
3.4,81ms,0.1,4.8,85ms,0.2
3.1,65ms,0.1,4.8,76ms,0.5
5.0,84ms,1.0,4.6,52ms,0.7
4.7,70ms,0.9,4.3,59ms,0.2
4.0,65ms,0.7,3.4,71ms,0.9
3.1,60ms,0.3,4.6,80ms,0.4
4.3,50ms,0.1,3.6,56ms,0.9
3.5,50ms,0.0,3.5,78ms,0.9
4.8,57ms,0.7,3.4,77ms,0.7
4.9,69ms,0.7,4.3,55ms,0.5
3.8,73ms,0.4,4.5,64ms,1.0
4.3,51ms,0.3,3.4,79ms,0.7
4.0,77ms,0.2,3.5,75ms,0.9
4.6,54ms,0.6,3.5,73ms,0.1
4.8,64ms,0.5,3.9,70ms,0.1
3.9,72ms,0.4,4.9,52ms,0.4
5.0,63ms,0.2,5.0,83ms,0.4
3.7,73ms,0.2,5.0,58ms,0.2
4.9,80ms,0.8,3.5,67ms,0.9
4.2,70ms,0.7,4.4,82ms,0.8
4.3,76ms,0.9,4.4,85ms,0.9
3.4,79ms,0.7,4.0,80ms,0.0
3.5,81ms,0.0,4.6,67ms,0.4
3.3,68ms,0.2,3.1,50ms,0.5
4.3,74ms,0.4,4.7,71ms,1.0
4.8,55ms,0.9,4.3,55ms,0.6
3.4,66ms,0.9,3.1,51ms,0.1
4.7,73ms,0.1,3.1,64ms,0.4
4.7,62ms,0.7,4.3,68ms,0.5
3.4,64ms,1.0,3.1,72ms,0.6
3.6,82ms,0.7,3.3,82ms,0.0
4.3,69ms,1.0,4.2,82ms,0.3
4.4,75ms,0.5,4.4,63ms,0.4
4.8,66ms,0.9,3.1,76ms,1.0
4.8,69ms,0.5,3.2,77ms,0.9
3.9,71ms,0.3,3.2,84ms,0.6
4.0,68ms,0.5,5.0,66ms,0.7
3.4,50ms,1.0,4.6,57ms,0.8
4.7,83ms,0.8,3.2,79ms,0.3
3.6,68ms,0.8,4.7,61ms,0.7
4.8,69ms,0.3,3.3,65ms,0.6
5.0,74ms,0.0,4.3,75ms,0.6
4.7,57ms,0.9,3.6,81ms,0.6
4.9,63ms,0.1,4.9,65ms,0.5
3.7,82ms,1.0,3.6,71ms,0.4
3.7,53ms,1.0,3.9,54ms,1.0
4.4,74ms,0.8,4.2,65ms,0.0
4.5,84ms,0.8,4.2,82ms,0.4
3.6,81ms,0.6,3.5,74ms,0.3
3.6,57ms,0.9,3.3,83ms,0.6
4.6,68ms,0.5,3.4,54ms,0.6
3.7,78ms,0.8,4.6,60ms,0.5
3.8,81ms,1.0,5.0,74ms,0.4
4.7,84ms,0.7,4.1,74ms,0.0
4.2,68ms,1.0,4.0,56ms,0.9
4.8,68ms,0.4,4.2,85ms,0.8
4.2,67ms,0.7,4.6,81ms,0.4
5.0,70ms,0.1,4.8,69ms,0.9
3.8,78ms,0.7,4.3,52ms,0.1
4.3,64ms,0.5,4.4,72ms,1.0
3.4,62ms,0.5,4.2,69ms,0.3
4.7,68ms,0.9,5.0,75ms,0.1
4.7,66ms,0.3,4.9,71ms,0.0
3.5,58ms,0.2,3.9,71ms,0.5
4.3,67ms,0.9,3.5,64ms,0.9
3.6,58ms,0.3,5.0,75ms,0.9
3.7,61ms,0.7,4.3,74ms,0.1
3.1,58ms,0.5,3.9,67ms,0.6
3.4,51ms,0.0,4.8,57ms,0.4
4.4,55ms,0.6,4.6,65ms,0.0
4.8,61ms,1.0,3.2,75ms,0.7
4.9,79ms,0.2,3.1,76ms,0.3
4.1,64ms,0.3,3.7,78ms,0.2
4.2,82ms,0.4,3.8,69ms,0.6
3.5,53ms,0.4,3.1,56ms,0.7
3.3,68ms,1.0,3.7,67ms,0.7
3.2,74ms,1.0,4.6,54ms,0.4
4.8,51ms,0.5,4.7,85ms,0.7
4.4,78ms,0.6,3.8,73ms,0.4
3.1,70ms,0.7,3.6,65ms,0.2
4.9,70ms,0.0,3.8,77ms,0.3
3.5,82ms,0.8,3.5,70ms,0.2
3.3,62ms,1.0,4.8,51ms,0.7
3.2,71ms,0.2,4.0,70ms,0.3
3.1,73ms,0.9,3.2,61ms,0.3
4.3,63ms,0.8,3.9,61ms,0.1
4.8,53ms,1.0,3.6,50ms,0.8
4.9,51ms,0.8,3.7,69ms,0.9
4.6,57ms,0.6,3.8,71ms,1.0
4.6,74ms,0.7,4.7,60ms,0.9
3.3,63ms,0.1,3.2,82ms,0.6
3.9,78ms,0.1,4.6,60ms,0.4
3.8,71ms,1.0,4.1,83ms,0.3
4.4,59ms,0.5,3.2,54ms,0.0
4.2,64ms,0.0,3.8,60ms,0.2
4.0,58ms,0.2,4.0,72ms,0.5
3.8,61ms,1.0,3.5,82ms,0.8
3.1,64ms,1.0,3.1,54ms,0.2
3.8,83ms,0.9,3.3,75ms,0.0
3.5,82ms,0.8,4.0,83ms,0.1
4.2,77ms,0.4,3.1,60ms,0.5
4.9,53ms,0.5,3.4,59ms,0.4
4.8,61ms,0.5,4.0,85ms,0.6
4.4,54ms,0.8,4.1,78ms,0.7
3.7,57ms,0.3,4.8,60ms,1.0
4.1,75ms,0.9,3.5,71ms,0.0
3.4,53ms,0.3,5.0,70ms,0.0
3.3,54ms,0.2,3.4,56ms,0.6
4.4,65ms,0.2,4.6,80ms,0.1
3.6,63ms,1.0,3.7,83ms,0.3
3.3,73ms,0.7,3.1,82ms,0.5
4.3,62ms,0.4,3.7,56ms,1.0
4.6,62ms,0.9,4.8,57ms,0.6
4.9,72ms,0.8,3.4,69ms,1.0
3.3,85ms,0.2,3.1,56ms,0.6
3.8,60ms,0.1,3.5,65ms,0.0
4.3,77ms,0.1,4.9,64ms,0.4
3.3,52ms,0.4,3.6,78ms,0.1
4.9,75ms,0.6,3.5,61ms,0.5
4.8,66ms,0.4,4.2,83ms,0.8
3.6,70ms,0.5,4.1,79ms,0.1
3.8,84ms,0.3,3.5,81ms,0.1
4.7,66ms,0.9,4.1,55ms,0.5
4.9,60ms,0.9,4.4,80ms,1.0
4.0,76ms,0.6,3.9,64ms,0.4
4.2,71ms,0.1,4.7,51ms,0.8
4.2,67ms,0.9,4.9,52ms,0.2
4.2,84ms,0.4,3.2,81ms,0.7
3.1,69ms,0.8,3.1,58ms,0.8
4.6,85ms,0.6,5.0,51ms,0.6
4.9,67ms,0.3,3.8,63ms,0.5
4.7,56ms,0.4,3.2,51ms,0.8
4.4,56ms,0.8,4.5,66ms,0.2
4.1,82ms,0.5,3.6,53ms,0.0
3.5,72ms,0.8,4.9,69ms,0.3
4.9,81ms,0.8,3.3,69ms,0.7
4.6,77ms,0.3,4.1,60ms,0.2
3.3,52ms,0.7,4.5,67ms,0.9
3.3,71ms,0.1,3.9,54ms,0.1
3.8,67ms,0.1,3.1,52ms,0.4
3.5,65ms,0.7,4.4,85ms,0.8
4.4,58ms,0.9,3.2,57ms,0.3
3.7,63ms,0.6,4.7,78ms,0.3
5.0,52ms,0.7,3.9,55ms,0.1
5.0,83ms,1.0,4.5,52ms,0.7
3.2,66ms,1.0,3.3,54ms,0.1
4.4,85ms,0.5,4.2,65ms,0.8
5.0,76ms,0.7,4.0,70ms,0.0
4.9,71ms,0.8,4.3,61ms,0.3
4.2,56ms,0.0,4.0,63ms,0.3
3.6,83ms,0.4,3.5,61ms,0.1
3.3,82ms,0.9,5.0,79ms,0.7
4.8,70ms,0.1,3.9,65ms,0.2
3.7,67ms,0.1,4.9,81ms,0.2
3.8,63ms,0.1,4.1,83ms,1.0
4.7,55ms,0.8,4.6,70ms,1.0
4.3,58ms,0.7,4.6,72ms,0.7
4.0,66ms,0.1,3.1,81ms,1.0
4.4,76ms,0.7,5.0,80ms,0.0
4.0,68ms,0.7,3.9,53ms,0.1
3.2,59ms,0.3,3.7,59ms,0.1
3.6,66ms,0.9,4.2,50ms,0.6
3.3,76ms,0.2,3.7,57ms,0.4
4.5,85ms,0.3,3.1,71ms,0.8
3.8,71ms,0.3,3.6,74ms,1.0
3.5,61ms,0.6,4.8,72ms,0.1
4.7,65ms,0.8,3.9,79ms,0.0
3.9,80ms,1.0,4.0,77ms,0.5
4.0,58ms,0.4,3.9,68ms,0.7
4.7,52ms,0.9,3.1,70ms,0.8
3.4,68ms,0.1,4.3,83ms,0.5
3.7,66ms,0.6,3.3,66ms,0.5
4.3,71ms,0.7,4.2,68ms,1.0
4.5,78ms,0.6,3.4,74ms,0.4
3.1,78ms,0.5,4.5,67ms,1.0
3.7,76ms,0.9,4.7,50ms,0.3
3.3,61ms,0.1,4.2,56ms,0.0
4.2,65ms,0.8,4.3,69ms,0.3
3.8,77ms,0.9,4.7,60ms,0.2
3.2,50ms,0.6,4.1,85ms,0.5
4.5,72ms,0.2,4.1,61ms,0.3
4.9,81ms,0.3,3.5,50ms,0.6
4.3,55ms,0.0,3.9,76ms,0.6
3.7,57ms,0.7,4.7,74ms,0.3
4.7,81ms,0.2,3.3,78ms,0.7
4.7,76ms,0.8,4.4,51ms,0.5
3.3,67ms,0.9,4.7,69ms,0.5
4.9,62ms,0.4,3.1,83ms,0.4
3.4,52ms,1.0,4.4,77ms,0.9
3.6,74ms,0.1,3.3,74ms,0.5
3.6,63ms,0.0,4.3,80ms,0.4
3.4,53ms,0.6,4.9,79ms,0.0
3.7,62ms,0.9,4.8,50ms,0.8
5.0,70ms,0.9,4.1,72ms,0.0
4.4,80ms,1.0,4.8,64ms,0.2
4.5,50ms,0.0,3.8,75ms,1.0
4.7,78ms,0.3,3.8,80ms,0.5
4.5,51ms,0.0,3.7,82ms,0.2
3.3,64ms,0.8,4.0,79ms,0.9
5.0,70ms,0.9,3.1,82ms,0.0
